Valid From,Valid To,Warning Colour,Warning Element
2018-01-02 17:00:00,2018-01-03 21:00:00,Yellow,Wind
2018-01-02 17:00:00,2018-01-02 22:00:00,Orange,Wind
2018-01-02 16:00:00,2018-01-02 21:00:00,Orange,Wind
2018-01-02 16:00:00,2018-01-02 22:00:00,Orange,Wind
2018-01-02 22:00:00,2018-01-03 14:00:00,Yellow,Wind
2018-01-03 14:00:00,2018-01-03 18:00:00,Yellow,Wind
2018-01-04 05:00:00,2018-01-04 13:00:00,Yellow,Wind
2018-01-07 21:00:00,2018-01-08 10:00:00,Orange,Low Temperature/Ice
2018-01-11 03:00:00,2018-01-11 10:00:00,Orange,Fog (or freezing fog)
2018-01-11 10:00:00,2018-01-11 12:00:00,Orange,Fog (or freezing fog)
2018-01-11 12:00:00,2018-01-12 02:00:00,Orange,Fog (or freezing fog)
2018-01-16 06:00:00,2018-01-17 03:00:00,Yellow,Snow/Ice
2018-01-15 23:00:00,2018-01-17 03:00:00,Yellow,Snow/Ice
2018-01-16 05:30:00,2018-01-17 03:00:00,Yellow,Wind
2018-01-16 11:00:00,2018-01-17 03:00:00,Yellow,Wind
2018-01-16 14:00:00,2018-01-17 09:00:00,Yellow,Snow/Ice
2018-01-17 18:00:00,2018-01-18 02:00:00,Yellow,Wind
2018-01-17 17:00:00,2018-01-18 03:00:00,Yellow,Wind
2018-01-18 10:00:00,2018-01-19 12:00:00,Yellow,Snow/Ice
2018-01-18 13:00:00,2018-01-19 12:00:00,Yellow,Snow/Ice
2018-01-23 20:00:00,2018-01-24 06:00:00,Yellow,Wind
2018-01-23 21:00:00,2018-01-24 09:00:00,Yellow,Wind
2018-01-24 00:01:00,2018-01-24 05:00:00,Orange,Wind
2018-02-05 18:00:00,2018-02-06 06:00:00,Yellow,Snow/Ice
2018-02-05 00:01:00,2018-02-05 10:00:00,Yellow,Low Temperature/Ice
2018-02-05 18:00:00,2018-02-06 04:00:00,Yellow,Snow/Ice
2018-02-05 18:00:00,2018-02-06 04:00:00,Yellow,Snow/Ice
2018-02-06 04:00:00,2018-02-06 23:59:00,Yellow,Snow/Ice
2018-02-06 16:00:00,2018-02-07 04:00:00,Yellow,Low Temperature/Ice
2018-02-08 21:00:00,2018-02-09 12:00:00,Yellow,Snow/Ice
2018-02-08 21:00:00,2018-02-09 09:00:00,Yellow,Snow/Ice
2018-02-08 21:00:00,2018-02-09 12:00:00,Yellow,Snow/Ice
2018-02-09 05:00:00,2018-02-09 12:00:00,Yellow,Snow/Ice
2018-02-10 15:00:00,2018-02-10 20:00:00,Yellow,Wind
2018-02-11 00:01:00,2018-02-11 23:59:00,Yellow,Snow/Ice
2018-02-11 12:00:00,2018-02-12 06:00:00,Yellow,Snow/Ice
2018-02-11 20:00:00,2018-02-12 08:00:00,Yellow,Snow/Ice
2018-02-13 03:00:00,2018-02-13 10:00:00,Yellow,Snow/Ice
2018-02-13 03:00:00,2018-02-13 10:00:00,Yellow,Snow/Ice
2018-02-14 00:01:00,2018-02-14 08:00:00,Yellow,Wind
2018-02-21 02:00:00,2018-02-21 10:00:00,Yellow,Low Temperature/Ice
2018-02-25 02:00:00,2018-02-25 10:00:00,Yellow,Low Temperature/Ice
